method	k	m	lower	upper	right_items	left_items	equation_solutions	candidates	seconds	max_abs_weight	max_abs_partial
mitm	25	71	281474976710656	1125899906842623	16777216	50331648	1	1039642015534604	7.05873	263882796171264	1266624119178180
mitm	25	72	281474976710656	1125899906842623	16777216	50331648	0		6.22012	246290616156160	2533248217385220
mitm	25	73	281474976710656	1125899906842623	16777216	50331648	0		6.09202	211106256650240	5066496376050948
mitm	25	74	281474976710656	1125899906842623	16777216	50331648	0		5.76069	281474871853055	10132992617885700
mitm	25	75	281474976710656	1125899906842623	16777216	50331648	0		6.40812	562949735317503	20265984950561796
mitm	25	76	281474976710656	1125899906842623	16777216	50331648	0		5.90945	1125899453857791	40531969313927172
mitm	25	77	281474976710656	1125899906842623	16777216	50331648	0		6.45631	2251798874161152	81063937436684292
mitm	26	71	1125899906842624	4503599627370495	67108864	50331648	0		12.209	1117103815065600	4324379254358016
mitm	26	72	1125899906842624	4503599627370495	67108864	50331648	0		18.1665	1108307723419648	4208930543960064
mitm	26	73	1125899906842624	4503599627370495	67108864	50331648	1	2431494812438214	43.7031	1090715540258816	3984630208069632
mitm	26	74	1125899906842624	4503599627370495	67108864	50331648	0		34.1543	1055531174199296	5488709586651396
mitm	26	75	1125899906842624	4503599627370495	67108864	50331648	0		12.1493	985162442604544	10977419158623492
mitm	26	76	1125899906842624	4503599627370495	67108864	50331648	0		22.7406	844424980463616	21954838220779524
mitm	26	77	1125899906842624	4503599627370495	67108864	50331648	0		58.1462	1125899688738815	43909676181515268
mitm	26	78	1125899906842624	4503599627370495	67108864	50331648	0		52.5926	2251799360700415	87819351775834116
mitm	26	79	1125899906842624	4503599627370495	67108864	50331648	0		56.9092	4503598687846399	175638702310166532
mitm	26	80	1125899906842624	4503599627370495	67108864	50331648	0		61.4187	9007197308583936	351277402070220804
mitm	27	74	4503599627370496	18014398509481983	67108864	201326592	0		43.7387	4468415257903104	17297516975210496
mitm	27	75	4503599627370496	18014398509481983	67108864	201326592	1	5217766440390935	42.5342	4433230888697856	16835722113515520
mitm	27	76	4503599627370496	18014398509481983	67108864	201326592	0		41.7936	4362862150549504	15938520700944384
mitm	27	77	4503599627370496	18014398509481983	67108864	201326592	0		35.4829	4222124674777088	21954943250336004
mitm	27	78	4503599627370496	18014398509481983	67108864	201326592	0		34.6173	3940649724280832	43909886404203780
mitm	27	79	4503599627370496	18014398509481983	67108864	201326592	0		24.7842	3377699825385472	87819772548362244
mitm	27	80	4503599627370496	18014398509481983	67108864	201326592	0		28.3241	4503599174385663	175639544509524996
mitm	27	81	4503599627370496	18014398509481983	67108864	201326592	0		29.3508	9007198315216895	351279087777542148
mitm	27	82	4503599627370496	18014398509481983	67108864	201326592	0		26.2199	18014396563324927	702558173004959748
mitm	27	83	4503599627370496	18014398509481983	67108864	201326592	0		35.5173	36028792992432128	1405116340842561540
mitm	28	77	18014398509481984	72057594037927935	67108864	805306368	0		96.7883	17873661026631680	69190067811581952
mitm	28	78	18014398509481984	72057594037927935	67108864	805306368	0		92.0206	17732923544305664	67342888322727936
mitm	28	79	18014398509481984	72057594037927935	67108864	805306368	2	47453708818892663,57341012950430378	93.2708	17451448580177920	63754082527739904
mitm	28	80	18014398509481984	72057594037927935	67108864	805306368	0		90.0493	16888498652971008	87819982771063044
mitm	28	81	18014398509481984	72057594037927935	67108864	805306368	0		88.5243	15762598800654336	175639965282080004
mitm	28	82	18014398509481984	72057594037927935	67108864	805306368	0		85.0728	13510799100215296	351279929976958980
mitm	28	83	18014398509481984	72057594037927935	67108864	805306368	0		83.7982	18014397569957887	702563155267523584
mitm	28	84	18014398509481984	72057594037927935	67108864	805306368	0		82.623	36028795072806911	1441155104735432704
mitm	28	85	18014398509481984	72057594037927935	67108864	805306368	0		82.3642	72057590011396095	2954367794046431232
mitm	28	86	18014398509481984	72057594037927935	67108864	805306368	0		77.6316	144115179754356736	5980793170789367808
