method	k	m	lower	upper	right_items	left_items	equation_solutions	candidates	seconds	max_abs_weight	max_abs_partial
mitm	22	61	4398046511104	17592186044415	4194304	3145728	1	9742923197455	0.597642	4260607836160	15564964958208
mitm	22	62	4398046511104	17592186044415	4194304	3145728	0		0.730857	4123169193984	18141095985540
mitm	22	63	4398046511104	17592186044415	4194304	3145728	0		0.629914	3848291942400	36282191840196
mitm	22	64	4398046511104	17592186044415	4194304	3145728	0		0.655095	3298537504768	72564379224324
mitm	22	65	4398046511104	17592186044415	4194304	3145728	0		0.671789	4398034976767	145128745342212
mitm	22	66	4398046511104	17592186044415	4194304	3145728	0		0.73499	8796068904959	290257460277252
mitm	22	67	4398046511104	17592186044415	4194304	3145728	0		0.792961	17592135712767	580514855545860
mitm	22	68	4398046511104	17592186044415	4194304	3145728	0		0.725748	35184267231232	1161029576880132
mitm	23	62	17592186044416	70368744177663	4194304	12582912	0		1.5955	17454747222016	67568427838464
mitm	23	63	17592186044416	70368744177663	4194304	12582912	0		1.50496	17317308416000	65764542713856
mitm	23	64	17592186044416	70368744177663	4194304	12582912	0		1.69062	17042430820352	62259853295616
mitm	23	65	17592186044416	70368744177663	4194304	12582912	0		1.39709	16492675661824	72566075556228
mitm	23	66	17592186044416	70368744177663	4194304	12582912	0		1.5175	15393165410304	145132146656196
mitm	23	67	17592186044416	70368744177663	4194304	12582912	0		1.56827	13194145038336	290264280205572
mitm	23	68	17592186044416	70368744177663	4194304	12582912	0		1.4069	17592161927167	580528530003204
mitm	23	69	17592186044416	70368744177663	4194304	12582912	0		1.44596	35184321757183	1161056994996228
mitm	23	70	17592186044416	70368744177663	4194304	12582912	0		1.46407	70368639320063	2322113855777796
mitm	23	71	17592186044416	70368744177663	4194304	12582912	0		1.11272	140737270251520	4644227438931972
mitm	24	65	70368744177664	281474976710655	16777216	12582912	0		2.5468	69818988642304	270273706979328
mitm	24	66	70368744177664	281474976710655	16777216	12582912	0		3.36396	69269233139712	263058164318208
mitm	24	67	70368744177664	281474976710655	16777216	12582912	1	152038348048545	2.90908	68169722167296	249039399272448
mitm	24	68	70368744177664	281474976710655	16777216	12582912	0		2.90672	65970700288000	316652711838660
mitm	24	69	70368744177664	281474976710655	16777216	12582912	0		3.7269	61572656660480	633305421580548
mitm	24	70	70368744177664	281474976710655	16777216	12582912	0		3.20398	52776569667584	1266610822190340
mitm	24	71	70368744177664	281474976710655	16777216	12582912	0		3.1789	70368693846015	2533221585661956
mitm	24	72	70368744177664	281474976710655	16777216	12582912	0		3.36395	140737383497727	5066443037109252
mitm	24	73	70368744177664	281474976710655	16777216	12582912	0		3.83297	281474758606847	10132885789011972
mitm	24	74	70368744177664	281474976710655	16777216	12582912	0		3.46014	562949500436480	20265770990833668
mitm	25	68	281474976710656	1125899906842623	16777216	50331648	0		8.52104	279275954044928	1081094818566144
mitm	25	69	281474976710656	1125899906842623	16777216	50331648	1	353387237261042	6.79776	277076931444736	1052232643362816
mitm	25	70	281474976710656	1125899906842623	16777216	50331648	0		6.49259	272678886309888	996157567598592
