index	decimal	digits	hit_index
1	8	2	5
2	11	2	4
3	16	2	5
4	27	2	6
5	37	3	9
6	44	3	8
7	74	3	9
8	88	3	8
9	111	3	9
10	148	3	9
11	185	3	9
12	409	4	11
13	526	4	11
14	2417	5	14
15	8720	6	17
16	12154	6	17
17	15268	6	17
18	49322	7	21
19	61587	7	20
20	68444	7	20
21	82833	7	20
22	98644	7	21
23	206356	7	22
24	249549	7	22
25	327001	8	24
26	484512	8	24
27	642437	8	24
28	692928	8	25
29	695659	8	24
30	726975	8	24
31	964225	8	26
32	1210087	8	25
33	2141228	9	27
34	2282504	9	27
35	5514048	9	29
36	10640601	10	31
37	48453362	10	32
38	69572128	11	34
39	74343984	11	34
40	171550728	11	35
41	184847569	11	35
42	204545417	11	35
43	232877871	11	35
44	245317977	11	36
45	246133682	11	35
46	1012053123	12	38
47	2919370958	13	41
48	3283990956	13	41
49	4107841348	13	41
50	4127458598	13	41
51	4583761876	13	41
52	4951787714	13	41
53	8498190475	13	42
54	17315782024	14	44
55	112617429948	15	48
56	513921355711	16	51
57	579661138195	16	51
58	630720040978	16	51
59	1995825836887	16	53
60	13812409338659	17	56
61	27934212868793	18	58
62	47378064376896	18	59
63	56263589332189	18	59
64	93359092114166	18	60
65	109446796513021	19	61
66	516180088148902	19	63
67	2718533482886677	20	67
68	3500821227014944	20	67
69	6210993623830431	21	69
70	7209350413467014	21	69
71	14265033074837994	21	70
72	15204226907167502	21	70
73	22511053539179256	22	72
74	36461386914627057	22	72
75	49632461900975956	22	73
76	237713057866579330	23	76
77	268442625556056776	23	76
78	459590269017829119	23	77
79	518176718644531806	23	77
80	952109855362584944	24	79
81	1669753507903156028	24	80
82	2115723085574440176	24	80
83	3967501249983705443	24	81
84	27093664166759736561	25	85
85	62642319832342018631	26	87
86	155004865632509365831	26	88
