index	decimal	digits	hit_index
1	5	2	5
2	7	2	4
3	10	2	5
4	15	2	5
5	18	3	7
6	29	3	7
7	47	3	7
8	113	4	10
9	163	4	10
10	269	5	12
11	1150	6	14
12	1293	6	15
13	1881	6	15
14	22173	8	20
15	44563	8	21
16	95683	9	23
17	261955	9	24
18	1179415	11	28
19	1295936	11	29
20	11451171	12	32
21	26867679	13	34
22	42531919	13	35
23	247791599	14	38
24	429914163	15	40
25	445379527	15	40
26	560533869	15	41
27	619222313	15	41
28	2147478019	16	43
29	2971786617	16	44
30	3474640372	16	44
31	11753588964	17	47
32	24452091777	18	49
33	24453922692	18	49
34	2375569094238	21	58
35	5473352509055	22	60
36	9742923197455	22	61
37	152038348048545	24	67
38	353387237261042	25	69
39	1039642015534604	25	71
40	2431494812438214	26	73
41	5217766440390935	27	75
42	47453708818892663	28	79
43	57341012950430378	28	79
44	83483048989474328	29	81
45	109941116537584214	29	81
46	185874140559053788	29	82
47	456793165739112664	30	84
48	934060406678538399	30	85
49	1647070794697469576	31	87
50	3246620754598895144	31	88
51	3550579834394506419	31	88
52	7982155805683268862	32	90
53	61025017088117933230	33	94
54	61186773691624450843	33	94
55	68518494384738384218	33	94
56	107716536038307203097	34	96
57	134809505490320383002	34	96
58	467765535484599558295	35	99
59	978706159838305354942	35	100
60	8046724397115209859338	37	105
61	8638173126667876080474	37	105
62	18674834427116462990043	37	106
63	32155308445927304908844	38	108
64	35042094615692621214733	38	108
65	62636812638289140987892	38	109
66	74698782078787805705343	38	109
67	140166846496547728943038	39	111
68	3108329045519499280251819	41	117
69	4425531982097969546682217	41	118
