index	decimal	digits	hit_index
1	8	2	6
2	13	2	4
3	16	2	6
4	19	2	5
5	24	2	6
6	32	2	6
7	40	2	6
8	48	2	6
9	57	3	9
10	114	3	9
11	125	3	8
12	145	3	8
13	171	3	9
14	228	3	9
15	285	3	9
16	329	3	10
17	342	3	9
18	589	4	12
19	1969	4	13
20	2833	5	14
21	4938	5	15
22	30318	6	18
23	43153	6	18
24	168516	7	22
25	336774	7	22
26	375008	7	23
27	652933	7	23
28	1068018	8	25
29	2955098	8	26
30	5658387	8	27
31	11096232	9	29
32	19623430	9	30
33	26245925	9	30
34	81805113	10	33
35	112442958	10	33
36	119572340	10	33
37	130712398	10	33
38	407198006	11	36
39	494835656	11	36
40	508871625	11	36
41	564319261	11	36
42	712864110	11	37
43	1329648884	11	37
44	4499773314	12	40
45	5010903526	12	40
46	7077533344	12	42
47	11424440549	12	41
48	15744296161	13	43
49	46282724188	13	44
50	154926847046	14	47
51	185670685444	14	47
52	351165724334	14	48
53	785943156977	15	50
54	2647975557330	15	52
55	2770407634615	15	52
56	10679277484313	16	55
57	14123109153469	16	55
58	14163105056827	16	55
59	50449840272846	17	58
60	200396662868635	17	60
61	224389284879008	17	60
62	228433619329803	17	60
63	336610530960634	18	62
64	337686041618050	18	62
65	402158917458018	18	62
66	1890571437281275	19	65
67	2455950644878339	19	66
68	3457225296201687	19	66
69	9624137639040511	19	67
70	14203071005330896	20	69
71	16067012950364045	20	69
72	35960065092540942	20	70
73	239727277024842421	21	74
74	609543998992144407	22	76
75	703339761792629198	22	76
76	1015768457189298947	22	77
77	1185254128119114590	22	77
78	20328142566705958100	23	82
79	43783087561314508914	24	84
80	46808703318242856654	24	84
81	93187729130564001246	24	85
