index	decimal	digits	hit_index
1	17	2	4
2	21	2	6
3	25	2	5
4	42	2	6
5	67	2	7
6	81	3	12
7	96	3	8
8	101	3	9
9	149	3	8
10	162	3	12
11	173	3	10
12	202	3	9
13	243	3	12
14	303	3	9
15	324	3	12
16	346	3	10
17	404	3	9
18	405	3	12
19	486	3	12
20	519	3	10
21	567	3	12
22	648	3	12
23	692	3	10
24	732	4	13
25	857	4	12
26	1189	4	12
27	1464	4	13
28	2199	4	14
29	4398	4	14
30	11644	5	15
31	18325	5	17
32	33774	5	17
33	34453	5	18
34	37999	5	18
35	70348	6	19
36	92664	6	21
37	141557	6	20
38	256820	6	21
39	263412	6	22
40	326778	6	21
41	349484	6	21
42	526824	6	22
43	535754	7	23
44	579708	7	23
45	1461987	7	24
46	1519308	7	24
47	1621052	7	24
48	2688905	7	25
49	4650964	7	25
50	8027458	8	27
51	8198651	8	27
52	8374956	8	27
53	13504910	8	28
54	17858551	8	28
55	20002383	8	29
56	55640285	9	31
57	154513633	9	32
58	170801638	9	32
59	4353088586	11	39
60	5643812037	11	39
61	18946904728	11	41
62	19063375560	11	41
63	26271129303	11	41
64	49758268761	12	43
65	77648939447	12	44
66	174500820157	12	45
67	290702636331	13	47
68	796619137746	13	48
69	3540598641806	14	51
70	13676042379182	14	53
71	27474725605036	15	55
72	32122430073077	15	55
73	64102375573662	15	56
74	75547942842040	15	56
75	238527943285496	16	59
76	284269944411051	16	59
77	554215352109954	16	60
78	3747653494762951	17	64
79	11036996693476908	17	65
80	45752611056779261	18	68
81	85234068798383512	18	69
82	139753963178518052	18	70
83	152723900013851077	19	71
84	166407951260908300	19	71
85	1953817627722590952	20	76
86	5299292442265390702	20	77
87	5785967376511193868	20	77
88	10663796184944693088	20	78
89	14022822477829541843	21	79
90	49042426303327670704	21	81
91	159017571621666230639	22	84
92	172142310334038381885	22	84
