index	decimal	digits	hit_index
1	5	2	7
2	9	2	4
3	10	2	7
4	11	2	6
5	13	2	5
6	15	2	7
7	20	2	7
8	22	2	6
9	31	3	8
10	40	3	8
11	43	3	7
12	53	3	8
13	62	3	8
14	71	3	8
15	84	3	8
16	93	3	8
17	124	3	8
18	154	4	10
19	221	4	10
20	483	4	11
21	3044	5	14
22	18748	7	18
23	125973	8	22
24	232085	8	23
25	1705260	9	27
26	2091605	10	28
27	5616236	10	29
28	8067806	10	30
29	8849508	10	30
30	58944155	12	35
31	84572166	12	35
32	164487062	12	36
33	421825427	13	38
34	469435978	13	38
35	744740232	13	39
36	2034565620	14	41
37	8998799859	15	44
38	15062362054	15	45
39	30267276276	15	46
40	44449738926	16	48
41	85527751986	16	49
42	159716772798	17	50
43	1369601276562	18	54
44	2884386496809	18	55
45	9626139714133	19	58
46	11343829178224	19	58
47	25597507949120	20	60
48	74648519221701	20	62
49	391544693355123	21	65
50	423171272011223	21	65
51	813106169167120	22	67
52	963290283196224	22	67
53	1264483995625322	22	68
54	1360135512633901	22	68
55	2194409518384770	22	69
56	3011877384937828	23	70
57	48038545066670217	24	75
58	53852077490734579	24	75
59	181359476689725458	25	78
60	188644565806517928	25	78
61	205807905067239796	25	78
62	248991252050340970	25	78
63	462554829517721841	26	80
64	506692856413309122	26	80
65	834230411496251537	26	81
66	956433246484150571	26	81
67	970233161314311596	26	81
68	1021460069774717807	26	81
69	1557844117607004660	27	83
70	3347999104646675836	27	84
71	3411274526229816253	27	84
72	3892874085414493028	27	84
73	3958597374567341545	27	84
74	4082053800397533959	27	84
75	4142687146239575440	27	84
76	4780483285380913039	27	85
77	14649111744946134521	28	87
78	14936730865091437925	28	87
79	23480686585715789375	28	88
80	54854213758266012545	29	90
81	58174473849624714716	29	90
82	63634519192527361909	29	90
83	72468907311083772841	29	90
84	73615056087547964286	29	90
85	75635888989757794499	29	90
86	226070524783671034430	30	93
87	274579138194064743077	30	93
88	318778836002699137247	30	93
89	319036882444995866447	30	93
90	447096057222212377034	30	94
91	631121102818940974199	30	94
92	635003755409663074123	30	94
93	962752828365064331125	31	96
94	1031936409523531674689	31	96
95	1227730403909928515524	31	96
96	5364324512032999930742	32	99
97	8710935272477422513873	32	100
98	10057386094462085943090	32	100
99	10085447433274486323082	32	100
