index	decimal	digits	hit_index
1	14	2	5
2	19	2	4
3	28	2	5
4	47	2	6
5	61	2	8
6	75	2	7
7	197	3	8
8	742	3	11
9	1104	4	13
10	1537	4	12
11	2208	4	13
12	2580	4	13
13	3684	4	13
14	4788	4	13
15	7385	4	14
16	7647	4	14
17	7909	4	14
18	31331	5	18
19	34285	5	17
20	34348	5	17
21	55604	5	18
22	62662	5	18
23	86935	5	18
24	93993	5	18
25	120284	6	20
26	129106	6	20
27	147640	6	20
28	156146	6	20
29	174680	6	20
30	183186	6	20
31	298320	6	21
32	355419	6	21
33	694280	6	22
34	925993	6	22
35	1084051	7	24
36	7913837	7	26
37	11436171	8	28
38	33445755	8	29
39	44121607	8	30
40	129572008	9	32
41	251133297	9	33
42	24769286411	11	41
43	96189170155	11	43
44	171570159070	12	45
45	202366307758	12	45
46	239143607789	12	45
47	296658839738	12	45
48	1934197506555	13	49
49	8756963649152	13	51
50	43520999798747	14	54
51	74596893730427	14	55
52	97295849958669	14	55
53	120984833091531	15	57
54	270585509032586	15	58
55	754788753590897	15	59
56	3621344088074041	16	63
57	3756915124022254	16	63
58	4362827422508274	16	63
59	11812665388886672	17	65
60	14508137312404344	17	66
61	16402582054271374	17	66
62	69953250322018194	17	68
63	73583709853303061	17	68
