index	decimal	digits	hit_index
1	8	2	8
2	11	2	5
3	15	2	4
4	16	2	8
5	22	2	5
6	24	2	8
7	32	2	8
8	37	2	6
9	40	2	8
10	48	2	8
11	56	2	8
12	59	2	7
13	92	3	8
14	123	3	8
15	200	3	11
16	251	3	9
17	257	3	11
18	400	3	11
19	457	3	11
20	893	4	11
21	2761	4	14
22	4040	4	14
23	4547	5	15
24	8392	5	17
25	9161	5	16
26	12833	5	17
27	16784	5	17
28	21225	5	17
29	29617	5	17
30	127126	6	20
31	238244	6	21
32	378733	7	22
33	526117	7	23
34	587524	7	23
35	599333	7	23
36	672549	7	23
37	745765	7	23
38	2176234	8	26
39	2347267	8	26
40	2593739	8	26
41	5285583	8	27
42	8113400	8	27
43	341785390	10	34
44	449415500	10	35
45	514971408	10	35
46	1230011191	11	37
47	2544857146	11	38
48	4334971438	11	39
49	4986327009	11	39
50	17451671054	12	42
51	30673732884	12	43
52	31142138584	12	43
53	238543512840	13	47
54	288645883528	13	47
55	747257469109	14	49
56	4311295154109	14	51
57	5668538158151	15	53
58	6947708060402	15	53
59	8938400802820	15	54
60	11621793594001	15	54
61	67231166611183	16	57
62	207611879404842	16	59
63	273971481635472	16	59
64	443305273105538	17	61
65	461755037832948	17	61
66	485086588626754	17	61
67	2131028935014150	17	63
68	17273066357486482	18	67
69	145974321102724355	20	72
70	860614330476688400	20	75
71	2121383444344108573	21	77
72	25606773027881253629	22	81
73	27424272456916626103	22	81
74	328261845266435825414	23	86
75	409014367023961265443	23	86
